ID,Genomic Coordinates,Parental Origin of Methylation,Nearest Transcript,Distance to Nearest Transcript
ICR_946,chr16:33808459-33808588,P,ENPP7P13,24184
ICR_947,chr16:34133988-34134110,M**,DUX4L45,1629
ICR_948^,chr16:34134512-34134657,M**,DUX4L45,1082
ICR_949^,chr16:34150896-34150953,,LINC00273,7632
ICR_950^,chr16:34153970-34154041,,LINC00273,4544
ICR_951,chr16:34158989-34159048,,LINC00273,0
ICR_952,chr16:34641102-34641465,,LINC02184,337257
ICR_953,chr16:34803525-34803596,,LINC02184,175126
ICR_954^,chr16:35208269-35208463,M**,TP53TG3GP,33
ICR_955,chr16:35246812-35248137,,FRG2JP,0
ICR_956*,chr16:35271909-35272955,P,C2orf69P5,7713
ICR_957,chr16:35397156-35398017,P,LINC01566,5443
ICR_958,chr16:35434223-35436923,P**,C2orf69P3,6598
ICR_959*^,chr16:35492463-35492505,,C2orf69P2,0
ICR_960^,chr16:35631098-35632919,,KIF18BP1,5715
ICR_961,chr16:35690947-35691217,,RNA5SP406,43176
ICR_962*^,chr16:46757358-46757691,P,MYLK3,0
ICR_963^,chr16:55760602-55760930,,CES1P1,0
ICR_964^,chr16:57889831-57890669,P,CNGB1,0
ICR_965^,chr16:66845423-66846154,,CA7,0
ICR_966*^,chr16:67654637-67654865,,CARMIL2,0
ICR_967,chr16:70450851-70451346,,FCSK,3244
ICR_968,chr16:70524741-70524805,,SF3B3,0
ICR_969,chr16:71383780-71384024,,CALB2,0
ICR_970,chr16:73171236-73171514,,ZFHX3,0
ICR_971^,chr16:79037697-79038236,P**,WWOX,0
ICR_972*^,chr16:79328593-79329315,,MAF,0
ICR_973^,chr16:79838820-79839867,,LINC01229,37477
ICR_974,chr16:85263027-85263356,,GSE1,0
ICR_975*^,chr16:85480230-85480623,,GSE1,0
ICR_976^,chr16:87517952-87518116,P**,ZCCHC14,24928
ICR_977^,chr16:88186741-88186914,,LINC02182,7367
ICR_978,chr16:88431177-88431330,,ZNF469,0
ICR_979^,chr17:335949-336142,P**,RPH3AL,0
ICR_980,chr17:753058-753176,,DBIL5P,0
ICR_981^,chr17:1492497-1492586,,MYO1C,0
ICR_982,chr17:1961067-1961305,P,RTN4RL1,0
ICR_983*^,chr17:2122709-2123630,,SMG6,0
ICR_984^,chr17:2691899-2691997,M**,CLUH,0
ICR_985*^,chr17:3386154-3386259,,OR3A2|OR1R1P,0
ICR_986*,chr17:4783019-4783185,,TM4SF5,0
ICR_987,chr17:5771207-5771575,M**,NLRP1,186698
ICR_988,chr17:8347360-8347494,,ODF4,1312
ICR_989,chr17:16683802-16683924,,CCDC144A|RNASEH1P2,0
ICR_990,chr17:16856437-16856709,P,COTL1P1,316
ICR_991^,chr17:18625246-18625400,,CCDC144B,0
ICR_992^,chr17:19980115-19980296,,AKAP10,2259
ICR_993*^,chr17:20896157-20896553,,CCDC144NL,0
ICR_994*,chr17:21512149-21512223,,RPL21P120,7055
ICR_995,chr17:21573789-21574080,,LINC02693,22111
ICR_996,chr17:21656813-21657134,,KCNJ18,35389
ICR_997,chr17:21678811-21679073,,KCNJ18,13450
ICR_998,chr17:21681088-21681431,,KCNJ18,11092
ICR_999,chr17:21685888-21686090,M,KCNJ18,6433
ICR_1000,chr17:21841948-21841991,,KCNJ18,136248
ICR_1001,chr17:21843634-21843712,,KCNJ18,137934
ICR_1002^,chr17:22266218-22266557,,LINC02002,0
ICR_1003,chr17:26733376-26735171,,PDLIM1P3,267482
ICR_1004,chr17:26788440-26788550,,PDLIM1P3,214103
ICR_1005^,chr17:28645702-28645796,,KIAA0100,543
ICR_1006,chr17:34040220-34040257,M,ASIC2,0
ICR_1007^,chr17:34571676-34571885,P**,C17orf102,2238
ICR_1008^,chr17:35151123-35151341,,UNC45B,0
ICR_1009,chr17:39868449-39868635,M**,ZPBP2,0
ICR_1010^,chr17:40014561-40014758,P,CSF3,682
ICR_1011^,chr17:43126133-43126286,,NBR2,0
ICR_1012^,chr17:43360035-43360515,,LINC00910,9330
ICR_1013,chr17:43677696-43677780,,LINC02594,0
ICR_1014,chr17:44326010-44326327,M**,SLC25A39,1140
ICR_1015,chr17:44384061-44384311,,ITGA2B,0
ICR_1016,chr17:45120891-45120962,M**,PLCD3,0
ICR_1017^,chr17:45745363-45745724,P**,CRHR1,38556
ICR_1018^,chr17:48049453-48049878,M**,NFE2L1,0
ICR_1019^,chr17:50565110-50565144,,CACNA1G,0
ICR_1020^,chr17:50639135-50639654,P,ABCC3,0
ICR_1021,chr17:52884073-52884266,M**,LINC02089,0
ICR_1022,chr17:58083349-58083378,,DYNLL2,41
ICR_1023*^,chr17:74919335-74919776,,USH1G,0
ICR_1024*^,chr17:76079666-76079946,P,ZACN,0
ICR_1025^,chr17:76542972-76543727,P,CYGB|PRCD,0
ICR_1026^,chr17:77351321-77351534,,SEPTIN9,0
ICR_1027,chr17:79517963-79518428,P,RBFOX3,0
ICR_1028^,chr17:80191857-80192326,P,CARD14,0
ICR_1029,chr17:81499100-81499231,M**,ACTG1,10740
ICR_1030*^,chr17:82777871-82777963,P**,TBCD,0
ICR_1031*^,chr17:82860218-82860396,,TBCD,0
ICR_1032*^,chr17:83205454-83205543,,RPL23AP87,21354
ICR_1033^,chr18:112155-112491,,ROCK1P1|MIR8078,0
ICR_1034,chr18:3602323-3602519,,DLGAP1,0
ICR_1035^,chr18:10299639-10299935,P**,LINC01254,105198
ICR_1036^,chr18:13379767-13380531,P,LDLRAD4,0
ICR_1037^,chr18:26568636-26569708,P**,KCTD1,0
ICR_1038,chr18:37258900-37259288,P,CELF4,0
ICR_1039,chr18:47526284-47526407,M,MIR4527HG,0
ICR_1040,chr18:59969851-59969940,M**,NFE2L3P1,0
ICR_1041,chr18:64002803-64002859,,SERPINB8,0
ICR_1042^,chr18:76491397-76491450,M**,ZNF516,0
ICR_1043*^,chr18:76787372-76787964,M**,ZNF236,34586
ICR_1044,chr18:78877346-78877514,P**,LINC01896,99300
ICR_1045*^,chr18:79404293-79404545,P**,NFATC1,0
ICR_1046,chr18:79532208-79532443,,NFATC1,2885
ICR_1047^,chr18:79532583-79532746,,NFATC1,3260
ICR_1048^,chr18:79616752-79617334,M,CTDP1,62469
ICR_1049,chr18:79617513-79617608,,CTDP1,62195
ICR_1050,chr18:79617770-79617815,,CTDP1,61988
ICR_1051,chr18:79638645-79638833,M,CTDP1,40970
ICR_1052^,chr18:80147168-80147833,M,ADNP2,6822
ICR_1053^,chr18:80147992-80149033,M,ADNP2,7646
ICR_1054*^,chr19:386289-386791,P,THEG,9596
ICR_1055^,chr19:676877-677125,,FSTL3,0
ICR_1056,chr19:853408-853490,,ELANE,0
ICR_1057^,chr19:1453910-1454194,,APC2,0
ICR_1058,chr19:1504102-1504336,P**,ADAMTSL5,682
ICR_1059,chr19:1510721-1510814,P**,ADAMTSL5,0
ICR_1060^,chr19:1542614-1542750,,PLK5,6568
ICR_1061,chr19:1691185-1691357,,TCF3,38570
ICR_1062,chr19:1779885-1780102,P,ONECUT3,0
ICR_1063,chr19:2041793-2041938,,MKNK2,0
ICR_1064^,chr19:2097444-2097551,,IZUMO4,0
ICR_1065^,chr19:2271480-2271693,,OAZ1,0
ICR_1066*^,chr19:2639359-2639532,,GNG7,0
ICR_1067*,chr19:2749064-2749211,,SGTA,5503
ICR_1068^,chr19:3006289-3006627,M,TLE2,0
ICR_1069,chr19:3314581-3314748,,CELF5,17505
ICR_1070^,chr19:3366518-3366556,,NFIC,0
ICR_1071^,chr19:3375239-3375520,,NFIC,0
ICR_1072^,chr19:3403800-3403966,M**,NFIC,0
ICR_1073,chr19:3789254-3789767,P**,MATK,0
ICR_1074,chr19:4194879-4195135,,ANKRD24,0
ICR_1075*^,chr19:4414819-4415739,,CHAF1A,0
ICR_1076*^,chr19:6018852-6019122,P**,RFX2,0
ICR_1077,chr19:6461119-6461350,,SLC25A23,1327
ICR_1078^,chr19:6489483-6490032,P**,TUBB4A,4287
ICR_1079,chr19:6509209-6509630,P,TUBB4A,6361
ICR_1080,chr19:6677833-6677968,M**,C3,0
ICR_1081*^,chr19:7004363-7004710,,FLJ25758,243
ICR_1082^,chr19:7646033-7646285,,STXBP2,0
ICR_1083,chr19:7863802-7864121,M,EVI5L,0
ICR_1084,chr19:7872627-7872688,,PRR36,0
ICR_1085,chr19:9912721-9912951,M,OLFM2,0
ICR_1086*^,chr19:9953808-9954321,P,COL5A3,5240
ICR_1087*,chr19:12873531-12873750,,MAST1,0
ICR_1088,chr19:13087918-13088184,,NFIX,0
ICR_1089^,chr19:13298916-13299037,,CACNA1A,0
ICR_1090,chr19:13623856-13623948,,CCDC130,107804
ICR_1091*^,chr19:14061704-14062308,P,PALM3,0
ICR_1092,chr19:15471897-15472161,,PGLYRP2,0
ICR_1093,chr19:15777135-15778369,P,CYP4F24P,0
ICR_1094,chr19:15862822-15863176,,CLEC4O,0
ICR_1095,chr19:15940417-15941089,P,CYP4F11,5551
ICR_1096^,chr19:16895886-16895902,M**,CPAMD8,0
ICR_1097*^,chr19:18439087-18439864,,ISYNA1,438
ICR_1098,chr19:18777223-18778158,,CRTC1,0
ICR_1099*,chr19:19120808-19121015,M,TMEM161A,0
ICR_1100^,chr19:19514692-19514749,,TSSK6,0
ICR_1101*^,chr19:19997705-19997967,P,BNIP3P12,0
ICR_1102,chr19:20237400-20237572,,BNIP3P17,14939
ICR_1103^,chr19:21568786-21569830,,ZNF429,27629
ICR_1104*,chr19:21678108-21678334,,MTDHP3,0
ICR_1105,chr19:22517560-22518023,,LINC01233,14603
ICR_1106^,chr19:29269046-29269583,,RN7SL340P,35661
ICR_1107^,chr19:29662034-29662704,P,PLEKHF1,2718
ICR_1108^,chr19:30253854-30254259,,ZNF536,0
ICR_1109^,chr19:33298571-33298842,P,CEBPA,1092
ICR_1110^,chr19:35703212-35703486,,ZBTB32,995
ICR_1111,chr19:37403622-37403742,,ZNF569,7404
ICR_1112^,chr19:37468518-37468666,,ZNF569|ZNF570,0
ICR_1113*,chr19:39875820-39875935,,FCGBP,0
ICR_1114,chr19:39892075-39892180,,FCGBP,0
ICR_1115,chr19:39915214-39915303,,FCGBP,0
ICR_1116^,chr19:40489767-40490020,,SPTBN4,0
ICR_1117^,chr19:41226761-41226873,M**,AXL,0
ICR_1118,chr19:41515217-41515351,M**,PLEKHA3P1,4883
ICR_1119,chr19:41644120-41644151,,DNAJC19P3,5123
ICR_1120,chr19:43406341-43406626,M,TEX101,0
ICR_1121^,chr19:45450882-45450913,M**,ERCC1,0
ICR_1122,chr19:46270331-46270412,P**,IGFL1P2,9470
ICR_1123,chr19:47601136-47601199,,BICRA,6997
ICR_1124^,chr19:48195063-48195219,,ZSWIM9,0
ICR_1125,chr19:48895257-48895520,M**,TULP2,0
ICR_1126,chr19:49719462-49719568,M**,RPS9P4,0
ICR_1127,chr19:49889832-49889898,,IL4I1,0
ICR_1128^,chr19:50458698-50458780,,MYBPC2,0
ICR_1129,chr19:50489534-50489611,M,EMC10,0
ICR_1130*^,chr19:50870491-50870617,,KLK2,2816
ICR_1131,chr19:50949976-50950140,,KLK5,0
ICR_1132*^,chr19:51002710-51003017,M**,KLK9,0
ICR_1133*^,chr19:51132331-51132649,,SIGLEC9,0
ICR_1134^,chr19:51271035-51271265,,LINC01872,1
ICR_1135*^,chr19:53537445-53538957,M,ZNF331,0
ICR_1136^,chr19:53553906-53554999,M,ZNF331,0
ICR_1137,chr19:55366121-55366170,P**,IL11,0
ICR_1138,chr19:55444225-55444310,M**,SHISA7,1362
ICR_1139^,chr19:55493632-55493692,,SSC5D,0
ICR_1140,chr19:55545891-55546024,P**,SBK3,348
ICR_1141^,chr19:56478788-56479078,M,ZNF667,723
ICR_1142*^#,chr19:56837320-56841439,M,ZIM2|PEG3|MIMT1,0
ICR_1143^,chr19:56942840-56943184,,MIMT1,94284
ICR_1144,chr19:57708235-57708333,,ZNF154,0
ICR_1145*^,chr19:58329076-58329167,,ZSCAN22,0
ICR_1146,chr19:58357064-58357218,,ZNF497,0
ICR_1147,chr19:58367655-58367750,M**,ZNF837,0
ICR_1148,chr19:58367876-58368275,,ZNF837,0
ICR_1149^,chr20:890832-892113,P,ANGPT4,0
ICR_1150^,chr20:1874501-1874963,P**,SIRPA,19204
ICR_1151,chr20:2754762-2755675,P**,EBF4,0
ICR_1152,chr20:4248057-4248319,,ADRA1D,0
ICR_1153^,chr20:8133537-8134006,M**,PLCB1,0
ICR_1154^,chr20:18504463-18504631,,RPS19P1,0
ICR_1155^,chr20:23164173-23164463,P,RNA5SP478,3202
ICR_1156*^,chr20:25751203-25751633,,FAM182B,11819
ICR_1157^,chr20:26009576-26009828,,LINC01733,40288
ICR_1158,chr20:28611219-28614382,,FRG1CP,8554
ICR_1159,chr20:29299480-29299787,,DUX4L32,19035
ICR_1160,chr20:29319042-29319248,,DUX4L32,0
ICR_1161,chr20:29325493-29325868,M,DUX4L33,444
ICR_1162,chr20:29408910-29409184,,DUX4L34,1100
ICR_1163,chr20:29410544-29410646,,DUX4L34,0
ICR_1164,chr20:29410776-29410829,,DUX4L34,0
ICR_1165,chr20:29411151-29411665,,DUX4L34,0
ICR_1166,chr20:29455174-29456097,,DUX4L35,5866
ICR_1167,chr20:29477464-29478281,,FRG1EP,0
ICR_1168,chr20:29497576-29497608,,FRG1EP,242
ICR_1169,chr20:29729579-29732420,,CDC27P3,13761
ICR_1170,chr20:29742731-29742778,,CDC27P3,3403
ICR_1171,chr20:29743810-29743884,,CDC27P3,2297
ICR_1172,chr20:29764040-29764101,,DUX4L36,1454
ICR_1173,chr20:29764588-29764756,,DUX4L36,2002
ICR_1174,chr20:29868336-29870377,,RNA5SP532,3682
ICR_1175,chr20:29874049-29874267,,RNA5SP532,0
ICR_1176,chr20:29877880-29878128,,DUX4L37,508
ICR_1177,chr20:29878870-29878965,,DUX4L37,0
ICR_1178,chr20:30168342-30168399,,CFTRP3,46399
ICR_1179,chr20:30283622-30283834,,LINC01597,0
ICR_1180,chr20:30284340-30284720,,LINC01597,0
ICR_1181^,chr20:30288471-30289510,,LINC01597,1934
ICR_1182,chr20:30488015-30488659,,CDC27P4,4314
ICR_1183,chr20:30489488-30489608,,CDC27P4,3365
ICR_1184,chr20:30593789-30593857,M**,ANKRD20A21P,87248
ICR_1185,chr20:30639491-30641610,,ANKRD20A21P,39495
ICR_1186,chr20:30871233-30872165,,DUX4L38,22296
ICR_1187,chr20:30892127-30892735,,DUX4L38,1726
ICR_1188,chr20:30908350-30908516,,DUX4L39,7632
ICR_1189,chr20:30922381-30922438,,CDC27P5,2799
ICR_1190^,chr20:31496438-31497008,P,LINC00028,8864
ICR_1191*^,chr20:31547027-31548129,M,HM13|MCTS2P,0
ICR_1192^#,chr20:37520202-37521842,M,BLCAP|NNAT,0
ICR_1193^#,chr20:37522341-37522993,M,BLCAP|NNAT,0
ICR_1194*^#,chr20:43513725-43515256,M,L3MBTL1,0
ICR_1195,chr20:44115828-44115890,,JPH2,0
ICR_1196*^,chr20:44750133-44750578,,KCNK15,0
ICR_1197^,chr20:45312226-45312454,,RBPJL,0
ICR_1198^,chr20:45971224-45971284,,ZNF335,0
ICR_1199,chr20:46009742-46009970,,MMP9,0
ICR_1200,chr20:46153336-46153644,,CDH22,20089
ICR_1201,chr20:46210329-46210446,M**,CDH22,0
ICR_1202^,chr20:46541615-46541812,,OCSTAMP,0
ICR_1203^,chr20:57350801-57350963,,RAE1,276
ICR_1204^,chr20:58467428-58467570,,APCDD1L,0
ICR_1205*^#,chr20:58839107-58842875,M,GNAS,0
ICR_1206*^#,chr20:58850158-58852357,M,GNAS,0
ICR_1207*^,chr20:58853850-58856828,M,GNAS,0
ICR_1208^,chr20:58888275-58890270,,GNAS,0
ICR_1209*^,chr20:59220788-59221858,M,ZNF831,0
ICR_1210^,chr20:62064979-62065036,M**,TAF4,0
ICR_1211,chr20:62581580-62581898,P,RPL7P3,8195
ICR_1212*^,chr20:62875532-62875657,,DIDO1,2081
ICR_1213,chr20:63003240-63003541,P,BHLHE23,2386
ICR_1214,chr20:63114505-63114687,P**,HAR1A,10119
ICR_1215,chr20:63262397-63262526,P**,FLJ16779,782
ICR_1216,chr20:63474459-63475096,P,KCNQ2,1804
ICR_1217*,chr20:63482662-63482947,,EEF1A2,5067
ICR_1218,chr20:63738421-63738536,,LIME1,0
ICR_1219*^,chr20:63909737-63909918,,DNAJC5,0
ICR_1220,chr21:5223187-5224121,,LINC01670,275033
ICR_1221,chr21:5240706-5242547,,LINC01670,256607
ICR_1222,chr21:7943768-7943974,,KCNE1B,114136
ICR_1223,chr21:8205580-8205618,,RNA45SN2,370
ICR_1224,chr21:8205885-8206106,,RNA45SN2,0
ICR_1225,chr21:8206343-8206514,,RNA45SN2,0
ICR_1226,chr21:8207053-8207144,,RNA45SN2,0
ICR_1227,chr21:8207995-8208028,,RNA45SN2,0
ICR_1228,chr21:8209431-8209533,,RNA45SN2,0
ICR_1229,chr21:8210080-8210254,,RNA45SN2|RNA18SN2,0
ICR_1230,chr21:8210530-8210733,,RNA45SN2|RNA18SN2,0
ICR_1231,chr21:8211004-8211157,,RNA45SN2|RNA18SN2,0
ICR_1232,chr21:8211424-8211524,,RNA45SN2|RNA18SN2,0
ICR_1233,chr21:8211781-8211805,,RNA45SN2,0
ICR_1234,chr21:8212080-8212139,,RNA45SN2,0
ICR_1235,chr21:8213080-8213132,,RNA45SN2,0
ICR_1236,chr21:8214822-8214873,,RNA45SN2|RNA28SN2,0
ICR_1237,chr21:8215614-8215723,,RNA45SN2|RNA28SN2,0
ICR_1238,chr21:8216148-8216317,,RNA45SN2|RNA28SN2,0
ICR_1239,chr21:8216729-8216785,,RNA45SN2|RNA28SN2,0
ICR_1240,chr21:8217611-8217759,,RNA45SN2|RNA28SN2,0
ICR_1241,chr21:8220792-8221021,,RNA45SN2,1490
ICR_1242,chr21:8226175-8226554,,RNA45SN2,6873
ICR_1243,chr21:8236929-8237069,,CDC27P9,3670
ICR_1244,chr21:8249017-8249144,,RNA18SP5,4698
ICR_1245,chr21:8249869-8249897,,RNA18SP5,3945
ICR_1246,chr21:8250138-8250293,,RNA18SP5,3549
ICR_1247,chr21:8250538-8250718,,RNA18SP5,3124
ICR_1248,chr21:8251123-8251349,,RNA18SP5,2493
ICR_1249,chr21:8254357-8254812,,RNA18SP5,0
ICR_1250,chr21:8254977-8255149,,RNA18SP5,0
ICR_1251,chr21:8255967-8256008,,RNA18SP5,263
ICR_1252,chr21:8256623-8256667,,RNA18SP5,919
ICR_1253,chr21:8259051-8259198,,RNA18SP5,3347
ICR_1254,chr21:8259990-8260098,,RNA18SP5,4286
ICR_1255,chr21:8260342-8260639,,RNA18SP5,4638
ICR_1256,chr21:8388627-8388658,,RNA45SN3,377
ICR_1257,chr21:8389622-8389676,,RNA45SN3,0
ICR_1258,chr21:8393074-8393383,,RNA45SN3|RNA18SN3,0
ICR_1259,chr21:8393565-8393774,,RNA45SN3|RNA18SN3,0
ICR_1260,chr21:8394039-8394188,,RNA45SN3|RNA18SN3,0
ICR_1261,chr21:8394459-8394550,,RNA45SN3|RNA18SN3,0
ICR_1262,chr21:8394810-8394840,,RNA45SN3,0
ICR_1263,chr21:8394978-8395322,,RNA45SN3,0
ICR_1264,chr21:8397411-8397431,,RNA45SN3|RNA28SN3,0
ICR_1265,chr21:8398648-8398748,,RNA45SN3|RNA28SN3,0
ICR_1266,chr21:8399142-8399444,,RNA45SN3|RNA28SN3,0
ICR_1267,chr21:8400649-8400889,,RNA45SN3|RNA28SN3,0
ICR_1268,chr21:8402302-8402340,,RNA45SN3,0
ICR_1269,chr21:8409174-8409553,,RNA45SN3,6831
ICR_1270,chr21:8419436-8419753,,CDC27P10,4057
ICR_1271,chr21:8432767-8432863,,RNA45SN1,359
ICR_1272,chr21:8433163-8433213,,RNA45SN1,9
ICR_1273,chr21:8434286-8434377,,RNA45SN1,0
ICR_1274,chr21:8436170-8436219,,RNA45SN1,0
ICR_1275,chr21:8437284-8437586,,RNA45SN1|RNA18SN1,0
ICR_1276,chr21:8437775-8437869,,RNA45SN1|RNA18SN1,0
ICR_1277,chr21:8438249-8438398,,RNA45SN1|RNA18SN1,0
ICR_1278,chr21:8439464-8439537,,RNA45SN1,0
ICR_1279,chr21:8439665-8439709,,RNA45SN1,0
ICR_1280,chr21:8442841-8443116,,RNA45SN1|RNA28SN1,0
ICR_1281,chr21:8443377-8443679,,RNA45SN1|RNA28SN1,0
ICR_1282,chr21:8444891-8445121,,RNA45SN1|RNA28SN1,0
ICR_1283,chr21:8445357-8445469,M**,RNA45SN1|RNA28SN1,0
ICR_1284,chr21:8453321-8453640,,RNA45SN1,6749
ICR_1285,chr21:8876858-8878492,,ANKRD20A16P,0
ICR_1286^,chr21:8986610-8986681,,MIR10396A,936
ICR_1287^,chr21:8987462-8987511,,MIR10396A,106
ICR_1288^,chr21:8987626-8987650,,MIR10396A,0
ICR_1289^,chr21:8987972-8988075,,MIR10396A,307
ICR_1290,chr21:9068512-9068795,,TEKT4P2,0
ICR_1291,chr21:9138607-9139589,,TEKT4P2,8846
ICR_1292,chr21:9145063-9146557,,TEKT4P2,15302
ICR_1293*,chr21:9191798-9193112,,TEKT4P2,62037
ICR_1294,chr21:9252971-9254122,,SNX18P12,110137
ICR_1295,chr21:9257941-9259184,,SNX18P12,105075
ICR_1296,chr21:9265816-9266689,,SNX18P12,97570
ICR_1297,chr21:9311544-9313693,,SNX18P12,50566
ICR_1298*^,chr21:9324916-9325065,,SNX18P12,39194
ICR_1299,chr21:9750301-9750555,,LINC01667,31293
ICR_1300,chr21:9933593-9935167,,RN7SL52P,30966
ICR_1301^,chr21:10014815-10014908,,RN7SL52P,112188
ICR_1302,chr21:10119513-10119529,,EIF3FP1,211111
ICR_1303,chr21:10121978-10122227,,EIF3FP1,208413
ICR_1304,chr21:10130148-10131679,,EIF3FP1,198961
ICR_1305,chr21:10328926-10329886,,EIF3FP1,754
ICR_1306*^,chr21:10342377-10342421,,EIF3FP1,10691
ICR_1307*^,chr21:10468190-10469266,,BAGE2,0
ICR_1308,chr21:10651725-10651919,,SLC25A15P4,38347
ICR_1309,chr21:10667761-10668157,,SLC25A15P4,54383
ICR_1310,chr21:10676655-10677098,,SLC25A15P4,63277
ICR_1311,chr21:10736093-10736681,,SLC25A15P4,122715
ICR_1312,chr21:10740063-10740387,,SLC25A15P4,126685
ICR_1313,chr21:10802832-10804215,,SLC25A15P4,189454
ICR_1314*^,chr21:29077180-29077327,,MAP3K7CL,0
ICR_1315*^,chr21:29155405-29155931,M,MAP3K7CL,0
ICR_1316,chr21:33034116-33034763,,OLIG2,4920
ICR_1317^,chr21:36994558-36994589,,MRPL20P1,0
ICR_1318,chr21:37007362-37007511,,RIPPLY3,0
ICR_1319^,chr21:37590794-37591276,,KCNJ6,16097
ICR_1320^,chr21:39385584-39386256,,GET1,0
ICR_1321*^,chr21:42063975-42064308,P,UMODL1,0
ICR_1322^,chr21:42659906-42660063,,PDE9A,0
ICR_1323^,chr21:43574703-43575138,P**,HSF2BP,0
ICR_1324,chr21:44391463-44391494,M**,TRPM2,0
ICR_1325,chr21:44818820-44818854,,SUMO3,691
ICR_1326^,chr21:44982807-44983007,,FAM207A,5818
ICR_1327^,chr21:45359946-45360583,P,MTCO1P3,15608
ICR_1328,chr21:45413377-45413676,P**,COL18A1,0
ICR_1329,chr21:45555294-45555347,,SLC19A1,0
ICR_1330,chr22:10571860-10571914,,CDC27P7,1.00E+08
ICR_1331,chr22:10572628-10572683,,CDC27P7,1.00E+08
ICR_1332,chr22:10929116-10929608,,CDC27P7,328185
ICR_1333,chr22:10961728-10961761,,CDC27P7,296032
ICR_1334,chr22:11039672-11040300,,CDC27P7,217493
ICR_1335,chr22:11252497-11252647,,CDC27P7,5146
ICR_1336,chr22:11295024-11295784,,DUX4L41,12133
ICR_1337,chr22:11353621-11355111,,DUX4L41,70730
ICR_1338,chr22:11449354-11449684,,ZNF73P,25093
ICR_1339,chr22:11465275-11466829,,ZNF73P,7948
ICR_1340,chr22:11827467-11828142,,MTCO3P33,26320
ICR_1341,chr22:11915066-11917239,,MTCO1P33,58644
ICR_1342,chr22:12036770-12038659,,MTCO1P34,97275
ICR_1343,chr22:12078178-12078767,,MTCO1P34,57167
ICR_1344,chr22:12097908-12098015,,MTCO1P34,37919
ICR_1345,chr22:12172503-12172718,,MTCO3P34,34609
ICR_1346,chr22:12176173-12176388,,MTCO3P34,38279
ICR_1347,chr22:12600959-12601368,,FRG1GP,13999
ICR_1348,chr22:12601693-12601904,,FRG1GP,13463
ICR_1349,chr22:12693850-12693914,,DUX4L44,0
ICR_1350,chr22:12873488-12874567,,DUX4L44,179386
ICR_1351,chr22:15553939-15554047,,ARHGAP42P3,5545
ICR_1352,chr22:15880965-15881299,,NBEAP3,4277
ICR_1353,chr22:18025220-18025583,,MICAL3,659
ICR_1354,chr22:18569467-18569592,,PI4KAP1,20639
ICR_1355*^,chr22:18967907-18968273,P,DGCR5,2225
ICR_1356^,chr22:19749148-19749533,P,TBX1,7170
ICR_1357,chr22:19768265-19768546,,TBX1,0
ICR_1358,chr22:20670772-20670970,,ABHD17AP4,0
ICR_1359,chr22:21865747-21866184,,MAPK1,0
ICR_1360,chr22:22114750-22114842,,IGL,0
ICR_1361,chr22:24211145-24211554,,GGT5,8100
ICR_1362^,chr22:24494131-24494362,,UPB1,698
ICR_1363,chr22:26910559-26910822,P**,LINC01422,0
ICR_1364^,chr22:27780254-27780522,P**,MN1,0
ICR_1365^,chr22:29208841-29209158,P**,EMID1,0
ICR_1366,chr22:31104622-31104758,M,SMTN,0
ICR_1367*^,chr22:32041878-32043341,P**,SLC5A1,0
ICR_1368*,chr22:32203909-32204959,,RFPL2,0
ICR_1369,chr22:36564370-36564591,,CACNG2,0
ICR_1370,chr22:38828287-38828585,P**,NPTXR,0
ICR_1371,chr22:39557889-39557920,M**,CACNA1I,12833
ICR_1372,chr22:39664168-39664319,M,CACNA1I,0
ICR_1373,chr22:39713307-39713466,M**,CACNA1I,23570
ICR_1374^,chr22:40040395-40041632,P,FAM83F,0
ICR_1375^,chr22:41681861-41682938,M,SNU13,0
ICR_1376*^,chr22:42397045-42397355,P**,NFAM1,0
ICR_1377*^,chr22:42532792-42533280,P,RRP7A,12996
ICR_1378,chr22:42547749-42547909,P,SERHL2,5941
ICR_1379^,chr22:43289378-43290003,P**,SCUBE1,0
ICR_1380^,chr22:45023162-45023506,,PHF21B,13157
ICR_1381,chr22:45078010-45078290,,PHF21B,68005
ICR_1382^,chr22:45162879-45162974,,NUP50,951
ICR_1383,chr22:45428041-45428475,,RIBC2,0
ICR_1384,chr22:45877926-45878087,P,ATXN10,32619
ICR_1385*,chr22:48238911-48239473,P,MIR3201,34891
ICR_1386,chr22:48576053-48576066,,TAFA5,0
ICR_1387^,chr22:49935324-49935357,,CRELD2,7784
ICR_1388^,chr22:50314617-50314942,P**,DENND6B,0
ICR_1389^,chr22:50482322-50482580,,ADM2,0
ICR_1390^,chr22:50506929-50506995,,LMF2,0
ICR_1391,chrX:330527-330751,,PPP2R3B,3182
ICR_1392,chrX:494090-494437,,FABP5P13,29304
ICR_1393,chrX:1208138-1208515,,CRLF2,0
ICR_1394,chrX:2325208-2325958,M,DHRSX,0
ICR_1395^,chrX:2962476-2962843,P,ARSL,0
ICR_1396*^,chrX:8783289-8783566,M**,DRAXINP1,0
ICR_1397^,chrX:9857996-9858420,P**,SHROOM2,0
ICR_1398,chrX:11138801-11139297,M,ARHGAP6,0
ICR_1399*^,chrX:14244065-14244239,M,UBE2E4P,26
ICR_1400*,chrX:17655055-17655175,M,NHS,0
ICR_1401,chrX:17786942-17787094,,RAI2,12955
ICR_1402,chrX:18104618-18104736,,LINC01456,0
